0.0,17,6,up
88.0,16,26,up
93.0,13,36,up
135.0,17,32,up
210.0,31,37,up
210.0,31,4,up
211.0,13,23,up
213.0,8,23,up
322.0,31,28,up
322.0,31,40,up
322.0,31,34,up
338.0,8,13,up
346.0,26,16,up
377.0,37,24,up
387.0,6,28,up
425.0,4,24,up
432.0,31,2,up
432.0,31,2,down
433.0,31,7,up
433.0,31,18,up
433.0,31,37,down
433.0,31,4,down
433.0,31,28,down
433.0,31,40,down
433.0,31,7,down
433.0,31,18,down
442.0,32,40,up
460.0,26,24,up
462.0,8,36,up
464.0,13,8,up
509.0,24,7,up
513.0,40,24,up
547.0,31,3,up
547.0,31,27,up
547.0,31,21,up
547.0,31,3,down
547.0,31,27,down
554.0,31,33,up
554.0,31,32,up
554.0,31,35,up
554.0,31,34,down
554.0,31,21,down
554.0,31,33,down
554.0,31,32,down
554.0,31,35,down
561.0,35,24,up
564.0,32,6,up
568.0,39,24,up
569.0,26,18,up
583.0,21,34,up
621.0,24,3,up
634.0,27,26,up
641.0,40,18,up
641.0,40,6,up
662.0,38,26,up
675.0,31,29,up
679.0,32,38,up
680.0,9,36,up
680.0,9,23,up
687.0,9,34,up
687.0,39,33,up
687.0,39,0,up
697.0,21,9,up
712.0,23,9,up
715.0,34,21,up
717.0,15,35,up
719.0,34,7,up
725.0,37,34,up
725.0,37,36,up
726.0,6,17,up
729.0,17,40,up
732.0,24,39,up
732.0,24,36,up
750.0,7,23,up
750.0,7,36,up
750.0,7,8,up
760.0,19,32,up
771.0,38,3,up
771.0,38,15,up
793.0,32,3,up
793.0,32,19,up
796.0,9,0,up
807.0,28,10,up
807.0,28,18,up
807.0,39,40,up
807.0,39,4,up
811.0,21,0,up
819.0,26,3,up
825.0,26,38,up
826.0,13,21,up
826.0,13,9,up
828.0,10,3,up
831.0,26,19,up
831.0,34,36,up
831.0,34,23,up
835.0,6,18,up
837.0,15,3,up
839.0,23,34,up
841.0,0,39,up
841.0,0,33,up
845.0,0,28,up
845.0,0,40,up
845.0,18,28,up
846.0,24,18,up
849.0,18,24,up
849.0,18,3,up
850.0,37,40,up
859.0,27,3,up
860.0,8,21,up
862.0,7,4,up
866.0,3,18,up
868.0,3,32,up
868.0,3,38,up
868.0,3,6,up
868.0,3,32,down
870.0,40,22,up
870.0,40,19,up
870.0,40,3,up
870.0,40,18,down
870.0,40,22,down
870.0,40,19,down
880.0,19,38,up
880.0,19,35,up
880.0,19,40,up
880.0,19,10,up
880.0,19,38,down
880.0,19,35,down
880.0,19,40,down
891.0,38,16,up
891.0,38,32,up
891.0,38,18,up
891.0,38,16,down
891.0,38,32,down
894.0,4,0,up
894.0,4,37,up
894.0,4,23,up
894.0,4,34,up
894.0,4,36,up
894.0,4,9,up
894.0,4,0,down
894.0,4,37,down
894.0,4,23,down
903.0,31,29,down
905.0,32,10,up
905.0,32,17,up
905.0,32,40,down
905.0,32,38,down
905.0,32,3,down
905.0,32,10,down
905.0,32,17,down
912.0,35,19,up
912.0,35,3,up
912.0,35,27,up
912.0,35,24,down
912.0,35,19,down
912.0,35,3,down
916.0,9,33,up
916.0,9,4,up
916.0,9,37,up
916.0,9,34,down
916.0,9,0,down
916.0,9,33,down
916.0,9,4,down
923.0,21,28,up
923.0,21,8,up
923.0,21,33,up
923.0,21,40,up
923.0,21,6,up
923.0,21,9,down
923.0,21,0,down
923.0,21,28,down
923.0,21,8,down
927.0,28,13,up
927.0,28,0,up
927.0,28,21,up
927.0,28,33,up
927.0,28,36,up
927.0,28,13,down
931.0,28,34,up
931.0,28,8,up
931.0,28,40,up
931.0,28,0,down
931.0,28,34,down
933.0,39,7,up
933.0,39,6,up
933.0,39,37,up
933.0,39,23,up
933.0,39,24,down
933.0,39,33,down
933.0,39,0,down
933.0,39,7,down
933.0,39,6,down
934.0,28,39,up
934.0,28,4,up
934.0,28,3,up
934.0,28,6,up
934.0,28,21,down
934.0,28,33,down
934.0,28,36,down
934.0,28,39,down
934.0,28,4,down
934.0,28,3,down
937.0,28,9,up
937.0,28,10,down
937.0,28,8,down
940.0,13,34,up
940.0,13,23,down
940.0,13,21,down
941.0,28,13,up
941.0,28,34,up
941.0,28,6,down
941.0,28,13,down
943.0,10,17,up
943.0,10,18,up
943.0,10,17,down
945.0,34,13,up
945.0,34,8,up
945.0,34,0,up
945.0,34,36,down
948.0,26,27,up
948.0,26,24,down
948.0,26,18,down
948.0,26,3,down
948.0,26,38,down
950.0,10,3,down
954.0,0,29,up
954.0,0,4,up
954.0,0,39,down
954.0,0,28,down
954.0,0,29,down
954.0,23,6,up
954.0,23,0,up
954.0,23,40,up
954.0,23,37,up
954.0,23,24,up
954.0,23,9,down
954.0,23,34,down
954.0,23,6,down
954.0,23,0,down
955.0,24,38,up
955.0,24,33,up
955.0,24,37,up
955.0,24,8,up
955.0,24,7,down
955.0,24,39,down
955.0,24,18,down
955.0,24,38,down
955.0,24,33,down
955.0,24,37,down
956.0,23,13,up
956.0,23,18,up
956.0,23,33,up
956.0,23,21,up
956.0,23,39,up
956.0,23,40,down
956.0,23,13,down
956.0,23,18,down
958.0,24,21,up
958.0,24,23,up
958.0,24,21,down
958.0,24,23,down
961.0,18,15,up
961.0,18,27,up
961.0,18,10,up
961.0,18,24,down
961.0,18,15,down
961.0,18,27,down
961.0,37,18,up
961.0,37,28,up
961.0,37,39,up
961.0,37,33,up
961.0,37,24,down
961.0,37,18,down
961.0,37,28,down
962.0,6,39,up
962.0,6,38,up
962.0,6,3,up
962.0,6,39,down
962.0,6,38,down
964.0,17,24,up
964.0,17,6,down
964.0,17,32,down
964.0,17,24,down
968.0,27,38,up
968.0,27,19,up
968.0,27,3,down
968.0,27,38,down
968.0,27,19,down
969.0,15,39,up
969.0,15,3,down
969.0,15,39,down
970.0,33,39,up
970.0,33,36,up
970.0,33,8,up
970.0,33,6,up
970.0,33,18,up
970.0,33,23,up
970.0,33,39,down
970.0,33,36,down
970.0,33,8,down
970.0,33,6,down
970.0,33,18,down
972.0,7,13,up
972.0,7,40,up
972.0,7,23,down
972.0,7,4,down
972.0,7,13,down
974.0,33,10,up
974.0,33,13,up
974.0,33,9,up
974.0,33,3,up
974.0,33,4,up
974.0,33,21,up
974.0,33,10,down
974.0,33,13,down
974.0,33,9,down
978.0,16,38,up
978.0,16,38,down
979.0,8,34,up
979.0,8,23,down
979.0,8,34,down
980.0,3,26,up
980.0,3,15,up
980.0,3,18,down
980.0,3,38,down
980.0,3,26,down
980.0,3,15,down
980.0,40,4,up
980.0,40,21,up
980.0,40,23,up
980.0,40,34,up
980.0,40,39,up
980.0,40,0,up
980.0,40,4,down
980.0,40,21,down
980.0,40,23,down
984.0,3,27,up
984.0,3,24,up
984.0,3,10,up
984.0,3,35,up
984.0,3,27,down
984.0,3,24,down
987.0,3,2,up
987.0,3,19,up
987.0,3,17,up
987.0,3,6,down
987.0,3,10,down
987.0,3,35,down
987.0,3,2,down
987.0,3,19,down
990.0,22,3,up
990.0,22,3,down
994.0,19,6,up
994.0,19,3,up
994.0,19,32,down
994.0,19,10,down
994.0,19,6,down
994.0,19,3,down
1001.0,38,27,up
1001.0,38,26,down
1001.0,38,3,down
1001.0,38,15,down
1001.0,38,27,down
1003.0,4,28,up
1003.0,4,6,up
1003.0,4,40,up
1003.0,4,34,down
1003.0,4,36,down
1003.0,4,9,down
1003.0,4,28,down
1003.0,4,6,down
1004.0,4,21,up
1004.0,4,17,up
1004.0,4,7,up
1004.0,4,39,up
1004.0,4,18,up
1004.0,4,40,down
1004.0,4,21,down
1004.0,4,17,down
1004.0,4,7,down
1015.0,32,24,up
1015.0,32,35,up
1015.0,32,6,down
1015.0,32,19,down
1015.0,32,24,down
1026.0,9,6,up
1026.0,9,40,up
1026.0,9,3,up
1026.0,9,24,up
1026.0,9,13,up
1026.0,9,6,down
1033.0,21,19,up
1033.0,21,17,up
1033.0,21,18,up
1033.0,21,3,up
1033.0,21,34,down
1033.0,21,33,down
1033.0,21,40,down
1033.0,21,19,down
1033.0,21,17,down
1033.0,35,32,up
1047.0,39,8,up
1047.0,39,13,up
1047.0,39,34,up
1047.0,39,40,down
1047.0,39,4,down
1047.0,39,37,down
1047.0,39,8,down
1047.0,39,13,down
1052.0,13,33,up
1052.0,13,0,up
1052.0,13,33,down
1057.0,34,24,up
1057.0,34,4,up
1057.0,34,33,up
1057.0,34,21,down
1057.0,34,7,down
1057.0,34,23,down
1057.0,34,13,down
1057.0,34,24,down
1057.0,34,4,down
1058.0,28,38,up
1058.0,28,37,up
1058.0,28,3,up
1058.0,28,16,up
1058.0,28,7,up
1058.0,28,36,up
1058.0,28,40,down
1058.0,28,34,down
1058.0,28,38,down
1058.0,28,37,down
1062.0,28,33,up
1062.0,28,18,down
1062.0,28,9,down
1062.0,28,3,down
1062.0,28,33,down
1063.0,0,25,up
1063.0,0,35,up
1063.0,0,3,up
1063.0,0,33,down
1063.0,0,25,down
1063.0,0,35,down
1073.0,24,19,up
1073.0,24,4,up
1073.0,24,34,up
1073.0,24,28,up
1073.0,24,3,down
1073.0,24,19,down
1073.0,24,4,down
1073.0,24,34,down
1074.0,26,16,down
1074.0,26,19,down
1074.0,26,27,down
1075.0,10,36,up
1075.0,10,38,up
1075.0,10,16,up
1075.0,10,9,up
1075.0,10,34,up
1075.0,10,36,down
1075.0,10,38,down
1075.0,10,16,down
1075.0,10,9,down
1075.0,18,9,up
1075.0,18,17,up
1075.0,18,40,up
1075.0,18,34,up
1075.0,18,10,down
1075.0,18,9,down
1075.0,18,17,down
1076.0,24,37,up
1076.0,24,6,up
1076.0,24,39,up
1076.0,24,7,up
1076.0,24,40,up
1076.0,24,33,up
1076.0,24,37,down
1076.0,24,6,down
1077.0,6,21,up
1077.0,6,0,up
1077.0,6,36,up
1077.0,6,40,up
1077.0,6,23,up
1077.0,6,21,down
1077.0,6,0,down
1078.0,24,23,up
1078.0,24,10,up
1078.0,24,38,up
1078.0,24,13,up
1078.0,24,23,down
1078.0,24,10,down
1078.0,37,38,up
1078.0,37,6,up
1078.0,37,13,up
1078.0,37,23,up
1078.0,37,3,up
1078.0,37,40,down
1078.0,37,38,down
1080.0,6,10,up
1080.0,6,4,up
1080.0,6,34,up
1080.0,6,7,up
1080.0,6,17,down
1080.0,6,3,down
1080.0,6,10,down
1080.0,6,4,down
1080.0,6,34,down
1080.0,10,24,up
1080.0,10,6,up
1080.0,10,21,up
1080.0,10,40,up
1080.0,10,18,down
1080.0,10,24,down
1080.0,10,6,down
1081.0,23,8,up
1081.0,23,36,up
1081.0,23,28,up
1081.0,23,33,down
1081.0,23,8,down
1081.0,23,36,down
1081.0,24,18,up
1081.0,24,36,down
1081.0,24,8,down
1081.0,24,39,down
1081.0,24,38,down
1081.0,37,19,up
1081.0,37,9,up
1081.0,37,34,down
1081.0,37,36,down
1081.0,37,39,down
1081.0,37,19,down
1083.0,24,4,up
1083.0,24,0,up
1083.0,24,28,down
1083.0,24,4,down
1083.0,24,0,down
1084.0,10,3,up
1084.0,10,28,up
1084.0,10,7,up
1084.0,10,3,down
1084.0,23,38,up
1084.0,23,0,up
1084.0,23,7,up
1084.0,23,19,up
1084.0,23,38,down
1084.0,23,0,down
1085.0,17,23,up
1085.0,17,9,up
1085.0,17,38,up
1085.0,17,34,up
1085.0,17,40,down
1085.0,17,23,down
1085.0,17,9,down
1087.0,23,40,up
1087.0,23,16,up
1087.0,23,6,up
1087.0,23,21,down
1087.0,23,28,down
1087.0,23,40,down
1089.0,33,17,up
1089.0,33,34,up
1089.0,33,19,up
1089.0,33,17,down
1092.0,8,33,up
1092.0,8,18,up
1092.0,8,7,up
1092.0,8,24,up
1092.0,8,39,up
1092.0,8,13,down
1092.0,8,21,down
1092.0,8,33,down
1092.0,8,18,down
1092.0,8,7,down
1092.0,16,26,down
1092.0,33,38,up
1092.0,33,7,up
1092.0,33,23,down
1092.0,33,38,down
1092.0,33,7,down
1095.0,33,9,up
1095.0,33,10,up
1095.0,33,3,down
1095.0,33,4,down
1095.0,33,34,down
1095.0,33,9,down
1095.0,40,7,up
1095.0,40,37,up
1095.0,40,28,up
1095.0,40,13,up
1095.0,40,36,up
1095.0,40,8,up
1095.0,40,7,down
1096.0,7,28,up
1096.0,7,38,up
1096.0,7,3,up
1096.0,7,18,up
1096.0,7,36,down
1096.0,7,28,down
1096.0,7,38,down
1096.0,7,3,down
1096.0,7,18,down
1096.0,33,28,up
1096.0,33,6,up
1096.0,33,24,up
1096.0,33,21,down
1096.0,33,19,down
1096.0,33,10,down
1097.0,3,7,up
1097.0,3,4,up
1097.0,3,23,up
1097.0,3,21,up
1097.0,3,13,up
1097.0,3,17,down
1097.0,3,7,down
1097.0,3,4,down
1097.0,3,23,down
1097.0,3,21,down
1097.0,3,13,down
1097.0,40,6,down
1097.0,40,34,down
1097.0,40,37,down
1097.0,40,28,down
1098.0,8,28,up
1098.0,8,37,up
1098.0,8,28,down
1098.0,8,37,down
1098.0,33,40,up
1098.0,33,18,up
1098.0,33,39,up
1098.0,33,38,up
1098.0,33,36,up
1098.0,33,40,down
1098.0,33,18,down
1098.0,33,39,down
1098.0,33,38,down
1098.0,33,36,down
1099.0,40,18,up
1099.0,40,23,up
1099.0,40,3,down
1099.0,40,39,down
1099.0,40,0,down
1099.0,40,13,down
1099.0,40,18,down
1099.0,40,23,down
1101.0,3,33,up
1101.0,3,34,up
1101.0,3,36,up
1101.0,3,24,up
1101.0,3,18,up
1101.0,3,33,down
1101.0,3,34,down
